Time,Fishery,Group,biomass,source
1987,handline,Greenland_Halibut,33273.26146,MRI
1988,handline,Greenland_Halibut,36203.07677,MRI
1989,handline,Greenland_Halibut,43639.20328,MRI
1990,handline,Greenland_Halibut,27738.76975,MRI
1991,handline,Greenland_Halibut,32962.363,MRI
1992,handline,Greenland_Halibut,30753.268,MRI
1993,handline,Greenland_Halibut,33371.292,MRI
1994,handline,Greenland_Halibut,25448.605,MRI
1995,handline,Greenland_Halibut,26740.548,MRI
1996,handline,Greenland_Halibut,21943.287,MRI
1997,handline,Greenland_Halibut,18896.915,MRI
1998,handline,Greenland_Halibut,10975.915,MRI
1999,handline,Greenland_Halibut,11399.632,MRI
1996,shrimp,Mackerel,92,MRI
1997,shrimp,Mackerel,925,MRI
1998,shrimp,Mackerel,357,MRI
2002,shrimp,Mackerel,53,MRI
2003,shrimp,Mackerel,122,MRI
2005,shrimp,Mackerel,363,MRI
2006,shrimp,Mackerel,4222,MRI
2007,shrimp,Mackerel,36706,MRI
2008,shrimp,Mackerel,112286,MRI
2009,shrimp,Mackerel,116160,MRI
2010,shrimp,Mackerel,121008,MRI
2011,shrimp,Mackerel,159263,MRI
2012,shrimp,Mackerel,149282,MRI
2013,shrimp,Mackerel,151235,MRI
2014,shrimp,Mackerel,173560,MRI
2015,shrimp,Mackerel,169336,MRI
2016,shrimp,Mackerel,172079,MRI
2017,shrimp,Mackerel,167366,MRI
2018,shrimp,Mackerel,168331,MRI
2019,shrimp,Mackerel,128077,MRI
2020,shrimp,Mackerel,151534,MRI
1978,purse seine,Herring,37300,MRI
1979,purse seine,Herring,45100,MRI
1980,purse seine,Herring,53300,MRI
1981,purse seine,Herring,39510,MRI
1982,purse seine,Herring,56500,MRI
1983,purse seine,Herring,58900,MRI
1984,purse seine,Herring,50300,MRI
1985,purse seine,Herring,49400,MRI
1986,purse seine,Herring,65510,MRI
1987,purse seine,Herring,75400,MRI
1988,purse seine,Herring,92800,MRI
1989,purse seine,Herring,101000,MRI
1990,purse seine,Herring,105100,MRI
1991,purse seine,Herring,109500,MRI
1992,purse seine,Herring,108510,MRI
1993,purse seine,Herring,102700,MRI
1994,purse seine,Herring,134000,MRI
1995,purse seine,Herring,125850,MRI
1996,purse seine,Herring,95850,MRI
1997,purse seine,Herring,64930,MRI
1998,purse seine,Herring,87240,MRI
1999,purse seine,Herring,92900,MRI
2000,purse seine,Herring,100330,MRI
2001,purse seine,Herring,101400,MRI
2002,purse seine,Herring,96100,MRI
2003,purse seine,Herring,126000,MRI
2004,purse seine,Herring,115000,MRI
2005,purse seine,Herring,103050,MRI
2006,purse seine,Herring,135310,MRI
2007,purse seine,Herring,158900,MRI
2008,purse seine,Herring,151780,MRI
2009,purse seine,Herring,46000,MRI
2010,purse seine,Herring,43533,MRI
2011,purse seine,Herring,49446,MRI
2012,purse seine,Herring,72236,MRI
2013,purse seine,Herring,72058,MRI
2014,purse seine,Herring,94975,MRI
2015,purse seine,Herring,69729,MRI
2016,purse seine,Herring,60403,MRI
2017,purse seine,Herring,35034,MRI
2018,purse seine,Herring,40683,MRI
2019,purse seine,Herring,30041,MRI
2020,purse seine,Herring,36041,MRI
1948,midwater trawl,Flatfish,9310,MRI
1949,midwater trawl,Flatfish,10572,MRI
1950,midwater trawl,Flatfish,9172,MRI
1951,midwater trawl,Flatfish,8439,MRI
1952,midwater trawl,Flatfish,5578,MRI
1953,midwater trawl,Flatfish,4693,MRI
1954,midwater trawl,Flatfish,5663,MRI
1955,midwater trawl,Flatfish,7733,MRI
1956,midwater trawl,Flatfish,7888,MRI
1957,midwater trawl,Flatfish,9603,MRI
1958,midwater trawl,Flatfish,8163,MRI
1959,midwater trawl,Flatfish,8428,MRI
1960,midwater trawl,Flatfish,8059,MRI
1961,midwater trawl,Flatfish,11001,MRI
1962,midwater trawl,Flatfish,11411,MRI
1963,midwater trawl,Flatfish,9658,MRI
1964,midwater trawl,Flatfish,9368,MRI
1965,midwater trawl,Flatfish,10898,MRI
1966,midwater trawl,Flatfish,13575,MRI
1967,midwater trawl,Flatfish,12904,MRI
1968,midwater trawl,Flatfish,11861,MRI
1969,midwater trawl,Flatfish,15660,MRI
1970,midwater trawl,Flatfish,11589,MRI
1971,midwater trawl,Flatfish,11375,MRI
1972,midwater trawl,Flatfish,8074,MRI
1973,midwater trawl,Flatfish,6170,MRI
1974,midwater trawl,Flatfish,5422,MRI
1975,midwater trawl,Flatfish,6027,MRI
1976,midwater trawl,Flatfish,6973,MRI
1977,midwater trawl,Flatfish,7326,MRI
1978,midwater trawl,Flatfish,6499,MRI
1979,midwater trawl,Flatfish,6646,MRI
1980,midwater trawl,Flatfish,6963,MRI
1981,midwater trawl,Flatfish,5080,MRI
1982,midwater trawl,Flatfish,7653,MRI
1983,midwater trawl,Flatfish,10005,MRI
1984,midwater trawl,Flatfish,13578,MRI
1985,midwater trawl,Flatfish,17527,MRI
1986,midwater trawl,Flatfish,16440,MRI
1987,midwater trawl,Flatfish,19300,MRI
1988,midwater trawl,Flatfish,23593,MRI
1989,midwater trawl,Flatfish,18756,MRI
1990,midwater trawl,Flatfish,17655,MRI
1991,midwater trawl,Flatfish,19987,MRI
1992,midwater trawl,Flatfish,19825,MRI
1993,midwater trawl,Flatfish,21797,MRI
1994,midwater trawl,Flatfish,21416,MRI
1995,midwater trawl,Flatfish,24898,MRI
1996,midwater trawl,Flatfish,29382,MRI
1997,midwater trawl,Flatfish,27836,MRI
1998,midwater trawl,Flatfish,19010,MRI
1999,midwater trawl,Flatfish,19216,MRI
2000,midwater trawl,Flatfish,14636,MRI
2001,midwater trawl,Flatfish,16027,MRI
2002,midwater trawl,Flatfish,15974,MRI
2003,midwater trawl,Flatfish,16203,MRI
2004,midwater trawl,Flatfish,15655,MRI
2005,midwater trawl,Flatfish,14304,MRI
2006,midwater trawl,Flatfish,13695,MRI
2007,midwater trawl,Flatfish,12069,MRI
2008,midwater trawl,Flatfish,12586,MRI
2009,midwater trawl,Flatfish,12794,MRI
2010,midwater trawl,Flatfish,10919,MRI
2011,midwater trawl,Flatfish,10111,MRI
2012,midwater trawl,Flatfish,10302,MRI
2013,midwater trawl,Flatfish,10136,MRI
2014,midwater trawl,Flatfish,9269,MRI
2015,midwater trawl,Flatfish,10953,MRI
2016,midwater trawl,Flatfish,11048,MRI
2017,midwater trawl,Flatfish,9945,MRI
2018,midwater trawl,Flatfish,11885,MRI
2019,midwater trawl,Flatfish,10140,MRI
2020,midwater trawl,Flatfish,10426,MRI
1978,danish seine,Capelin,6.00E+05,MRI
1979,danish seine,Capelin,3.00E+05,MRI
1980,danish seine,Capelin,170000,MRI
1981,danish seine,Capelin,140000,MRI
1982,danish seine,Capelin,260000,MRI
1983,danish seine,Capelin,440000,MRI
1984,danish seine,Capelin,460000,MRI
1985,danish seine,Capelin,460000,MRI
1986,danish seine,Capelin,420000,MRI
1987,danish seine,Capelin,4.00E+05,MRI
1988,danish seine,Capelin,440000,MRI
1989,danish seine,Capelin,115000,MRI
1990,danish seine,Capelin,330000,MRI
1991,danish seine,Capelin,475000,MRI
1992,danish seine,Capelin,499000,MRI
1993,danish seine,Capelin,460000,MRI
1994,danish seine,Capelin,420000,MRI
1995,danish seine,Capelin,830000,MRI
1996,danish seine,Capelin,430000,MRI
1997,danish seine,Capelin,492000,MRI
1998,danish seine,Capelin,5.00E+05,MRI
1999,danish seine,Capelin,650000,MRI
2000,danish seine,Capelin,450000,MRI
2001,danish seine,Capelin,475000,MRI
2002,danish seine,Capelin,410000,MRI
2003,danish seine,Capelin,535000,MRI
2004,danish seine,Capelin,602000,MRI
2005,danish seine,Capelin,4.00E+05,MRI
2006,danish seine,Capelin,410000,MRI
2007,danish seine,Capelin,406000,MRI
2008,danish seine,Capelin,328000,MRI
2009,danish seine,Capelin,410000,MRI
2010,danish seine,Capelin,411000,MRI
2011,danish seine,Capelin,418000,MRI
2012,danish seine,Capelin,417000,MRI
2013,danish seine,Capelin,424000,MRI
